season,id,name,short_name,description,home_team,away_team,toss_won,decision,1st_inning_score,2nd_inning_score,home_score,away_score,winner,result,start_date,end_date,venue_id,venue_name,home_captain,away_captain,pom,points,super_over,home_overs,home_runs,home_wickets,home_boundaries,away_overs,away_runs,away_wickets,away_boundaries,total_boundaries,2nd_in_win
2021,,Kolkata Knight Riders v Chennai Super Kings,KKR v CSK,15th Match,KKR,CSK,KKR,BOWL FIRST,220/3,202/10,202,220,CSK,CSK won by 18 runs,,,,"Wankhede Stadium, Mumbai",Eoin Morgan,MS Dhoni,Faf du Plessis,,FALSE,19.1,202,10,30,20,220,3,31,61,FALSE
2021,,Kings XI Punjab v Sunrisers Hyderabad,KXIP v SRH,14th Match,KXIP,SRH,KXIP,BAT FIRST,120/10,121/1,120,121,SRH,SRH won by 9 wickets,,,,"MA Chidambaram Stadium, Chepauk, Chennai",KL Rahul,David Warner,Jonny Bairstow,,FALSE,19.4,120,10,9,18.4,121,1,10,19,TRUE
2021,,Delhi Capitals v Mumbai Indians,DC v MI,13th Match,DC,MI,MI,BAT FIRST,137/9,138/4,138,137,DC,DC won by 6 wickets,,,,"MA Chidambaram Stadium, Chepauk, Chennai",Rishab Pant,Rohit Sharma,Amit Mishra,,FALSE,19.1,138,4,15,20,137,9,14,29,TRUE
2021,,Chennai Super Kings v Rajasthan Royals,CSK v RR,12th Match,CSK,RR,RR,BOWL FIRST,188/9,143/9,188,143,CSK,CSK won by 45 runs,,,,"Wankhede Stadium, Mumbai",MS Dhoni,Sanju Samson,Moeen Ali,,FALSE,20,188,9,22,20,143,9,16,38,FALSE
2021,,Delhi Capitals v Kings XI Punjab,DC v KXIP,11th Match,DC,KXIP,DC,BOWL FIRST,195/4,198/4,198,195,DC,DC won by 6 wickets,,,,"Wankhede Stadium, Mumbai",Rishab Pant,KL Rahul,Shikhar Dhawan,,FALSE,18.2,198,4,27,20,195,4,27,54,TRUE
2021,,Royal Challengers Bangalore v Kolkata Knight Riders,RCB v KKR,10th Match,RCB,KKR,RCB,BAT FIRST,204/4,166/8,204,166,RCB,RCB won by 38 runs,,,,"MA Chidambaram Stadium, Chepauk, Chennai",Virat Kohli,Eoin Morgan,AB de Villiers,,FALSE,20,204,4,29,20,166,8,21,50,FALSE
2021,,Mumbai Indians v Sunrisers Hyderabad,MI v SRH,9th Match,MI,SRH,MI,BAT FIRST,150/5,137,150,137,MI,MI won by 13 runs,,,,"MA Chidambaram Stadium, Chepauk, Chennai",Rohit Sharma,David Warner,Kieron Pollard,,FALSE,20,150,5,16,19.4,137,10,15,31,FALSE
2021,,Kings XI Punjab v Chennai Super Kings,KXIP v CSK,8th Match,KXIP,CSK,CSK,BOWL FIRST,106/8,107/4,106,107,CSK,CSK won by 6 wickets,,,,"Wankhede Stadium, Mumbai",KL Rahul,MS Dhoni,Deepak Chahar,,FALSE,20,106,8,12,15.4,107,4,14,26,TRUE
2021,,Rajasthan Royals v Delhi Capitals,RR v DC,7th Match,RR,DC,RR,BOWL FIRST,147/8,150/7,150,147,RR,RR won by 3 wickets,,,,"Wankhede Stadium, Mumbai",Sanju Samson,Rishab Pant,Jaydev Unadkat,,FALSE,19.4,150,7,19,20,147,8,20,39,TRUE
2021,,Sunrisers Hyderbad v Royal Challengers Bangalore,SRH v RCB,6th Match,SRH,RCB,SRH,BOWL FIRST,149/8,143/9,143,149,RCB,RCB won by 6 runs,,,,"MA Chidambaram Stadium, Chepauk, Chennai",David Warner,Virat Kohli,Glenn Maxwell,,FALSE,20,143,9,15,20,149,8,18,33,FALSE
2021,,Kolkata Knight Riders v Mumbai Indians,KKR v MI,5th Match,KKR,MI,KKR,BOWL FIRST,152/10,142/7,142,152,MI,MI won by 10 runs,,,,"MA Chidambaram Stadium, Chepauk, Chennai",Eoin Morgan,Rohit Sharma,Rahul Chahar,,FALSE,20,142,7,17,20,152,10,19,36,FALSE
2021,,Rajasthan Royals v Kings XI Punjab,RR v KXIP,4th Match,RR,KXIP,RR,BOWL FIRST,221/6,217/7,217,221,KXIP,KXIP won by 4 runs,,,,"Wankhede Stadium, Mumbai",Sanju Samson,KL Rahul,Sanju Samson,,FALSE,20,217,7,33,20,221,6,31,64,FALSE
2021,,Sunrisers Hyderabad v Kolkata Knight Riders,SRH v KKR,3rd Match,SRH,KKR,SRH,BOWL FIRST,187/6,177/5,177,187,KKR,KKR won by 10 runs,,,,"MA Chidambaram Stadium, Chepauk, Chennai",David Warner,Eoin Morgan,Nitish Rana,,FALSE,20,177,5,19,20,187,6,26,45,FALSE
2021,,Chennai Super Kings v Delhi Capitals,CSK v DC,2nd Match,CSK,DC,DC,BOWL FIRST,188/7,190/3,188,190,DC,DC won by 7 wickets,,,,"Wankhede Stadium, Mumbai",MS Dhoni,Rishab Pant,Shikhar Dhawan,,FALSE,20,188,7,26,18.4,190,3,29,55,TRUE
2021,,Mumbai Indians v Royal Challengers Bangalore,MI v RCB,1st Match,MI,RCB,RCB,BOWL FIRST,159/9,160/8,159,160,RCB,RCB won by 2 wickets,09-04-2021,09-04-2021,58008,"MA Chidambaram Stadium, Chepauk, Chennai",Rohit Sharma,Virat Kohli,Harshal Patel,"Royal Challengers Bangalore 2, Mumbai Indians 0",FALSE,20,159,9,21,20,160,8,16,37,TRUE
2020,1216492,Mumbai Indians v Chennai Super Kings,MI v CSK,"1st Match (N), Indian Premier League at Abu Dhabi, Sep 19 2020",MI,CSK,CSK,BOWL FIRST,162/9,166/5,162/9,166/5,CSK,Super Kings won by 5 wickets,2020-09-19T14:00Z,2020-09-21T23:59Z,59396,"Sheikh Zayed Stadium, Abu Dhabi",Rohit Sharma,MS Dhoni,Ambati Rayudu,"Chennai Super Kings 2, Mumbai Indians 0",FALSE,20,162,9,19,19.2,166,5,21,40,TRUE
2020,1216493,Delhi Capitals v Kings XI Punjab,DC v KXIP,"2nd Match (N), Indian Premier League at Dubai (DSC), Sep 20 2020",DC,KXIP,KXIP,BOWL FIRST,157/8,157/8,157/8,157/8,DC,Match tied (Delhi Capitals won the one-over eliminator),2020-09-20T14:00Z,2020-09-22T23:59Z,392627,Dubai International Cricket Stadium,Shreyas Iyer,KL Rahul,Marcus Stoinis,"Delhi Capitals 2, Kings XI Punjab 0",TRUE,20,157,8,19,20,157,8,18,37,FALSE
2020,1216534,Sunrisers Hyderabad v Royal Challengers Bangalore,SRH v RCB,"3rd Match (N), Indian Premier League at Dubai (DSC), Sep 21 2020",SRH,RCB,SRH,BOWL FIRST,163/5,153,153,163/5,RCB,RCB won by 10 runs,2020-09-21T14:00Z,2020-09-23T23:59Z,392627,Dubai International Cricket Stadium,David Warner,Virat Kohli,Yuzvendra Chahal,"Royal Challengers Bangalore 2, Sunrisers Hyderabad 0",FALSE,19.4,153,10,17,20,163,5,17,34,FALSE
2020,1216496,Rajasthan Royals v Chennai Super Kings,RR v CSK,"4th Match (N), Indian Premier League at Sharjah, Sep 22 2020",RR,CSK,CSK,BOWL FIRST,216/7,200/6,216/7,200/6,RR,Royals won by 16 runs,2020-09-22T14:00Z,2020-09-24T23:59Z,59392,Sharjah Cricket Stadium,Steven Smith,MS Dhoni,Sanju Samson,"Rajasthan Royals 2, Chennai Super Kings 0",FALSE,20,216,7,26,20,200,6,25,51,FALSE
2020,1216508,Kolkata Knight Riders v Mumbai Indians,KKR v MI,"5th Match (N), Indian Premier League at Abu Dhabi, Sep 23 2020",KKR,MI,KKR,BOWL FIRST,195/5,146/9,146/9,195/5,MI,Mum Indians won by 49 runs,2020-09-23T14:00Z,2020-09-25T23:59Z,59396,"Sheikh Zayed Stadium, Abu Dhabi",Dinesh Karthik,Rohit Sharma,Rohit Sharma,"Mumbai Indians 2, Kolkata Knight Riders 0",FALSE,20,146,9,20,20,195,5,22,42,FALSE
2020,1216510,Kings XI Punjab v Royal Challengers Bangalore,KXIP v RCB,"6th Match (N), Indian Premier League at Dubai (DSC), Sep 24 2020",KXIP,RCB,RCB,BOWL FIRST,206/3,109,206/3,109,KXIP,Kings XI won by 97 runs,2020-09-24T14:00Z,2020-09-26T23:59Z,392627,Dubai International Cricket Stadium,KL Rahul,Virat Kohli,KL Rahul,"Kings XI Punjab 2, Royal Challengers Bangalore 0",FALSE,20,206,3,28,17,109,10,13,41,FALSE
2020,1216539,Chennai Super Kings v Delhi Capitals,CSK v DC,"7th Match (N), Indian Premier League at Dubai (DSC), Sep 25 2020",CSK,DC,CSK,BOWL FIRST,175/3,131/7,131/7,175/3,DC,Capitals won by 44 runs,2020-09-25T14:00Z,2020-09-27T23:59Z,392627,Dubai International Cricket Stadium,MS Dhoni,Shreyas Iyer,Prithvi Shaw,"Delhi Capitals 2, Chennai Super Kings 0",FALSE,20,131,7,13,20,175,3,21,34,FALSE
2020,1216545,Kolkata Knight Riders v Sunrisers Hyderabad,KKR v SRH,"8th Match (N), Indian Premier League at Abu Dhabi, Sep 26 2020",KKR,SRH,SRH,BAT FIRST,142/4,145/3,145/3,142/4,KKR,KKR won by 7 wickets,2020-09-26T14:00Z,2020-09-28T23:59Z,59396,"Sheikh Zayed Stadium, Abu Dhabi",Dinesh Karthik,David Warner,Shubman Gill,"Kolkata Knight Riders 2, Sunrisers Hyderabad 0",FALSE,18,145,3,18,20,142,4,12,30,TRUE
2020,1216527,Rajasthan Royals v Kings XI Punjab,RR v KXIP,"9th Match (N), Indian Premier League at Sharjah, Sep 27 2020",RR,KXIP,RR,BOWL FIRST,223/2,226/6,226/6,223/2,RR,Royals won by 4 wickets,2020-09-27T14:00Z,2020-09-29T23:59Z,59392,Sharjah Cricket Stadium,Steven Smith,KL Rahul,Sanju Samson,"Rajasthan Royals 2, Kings XI Punjab 0",FALSE,19.3,226,6,32,20,223,2,31,63,TRUE
2020,1216547,Royal Challengers Bangalore v Mumbai Indians,RCB v MI,"10th Match (N), Indian Premier League at Dubai (DSC), Sep 28 2020",RCB,MI,MI,BOWL FIRST,201/3,201/5,201/3,201/5,RCB,Match tied (Royal Challengers Bangalore won the one-over eliminator),2020-09-28T14:00Z,2020-09-30T23:59Z,392627,Dubai International Cricket Stadium,Virat Kohli,Rohit Sharma,AB de Villiers,"Royal Challengers Bangalore 2, Mumbai Indians 0",TRUE,20,201,3,27,20,201,5,22,49,TRUE
2020,1216532,Delhi Capitals v Sunrisers Hyderabad,DC v SRH,"11th Match (N), Indian Premier League at Abu Dhabi, Sep 29 2020",DC,SRH,DC,BOWL FIRST,162/4,147/7,147/7,162/4,SRH,Sunrisers won by 15 runs,2020-09-29T14:00Z,2020-10-01T23:59Z,59396,"Sheikh Zayed Stadium, Abu Dhabi",Shreyas Iyer,David Warner,Rashid Khan,"Sunrisers Hyderabad 2, Delhi Capitals 0",FALSE,20,147,7,14,20,162,4,15,29,FALSE
2020,1216504,Rajasthan Royals v Kolkata Knight Riders,RR v KKR,"12th Match (N), Indian Premier League at Dubai (DSC), Sep 30 2020",RR,KKR,RR,BOWL FIRST,174/6,137/9,137/9,174/6,KKR,KKR won by 37 runs,2020-09-30T14:00Z,2020-10-02T23:59Z,392627,Dubai International Cricket Stadium,Steven Smith,Dinesh Karthik,Shivam Mavi,"Kolkata Knight Riders 2, Rajasthan Royals 0",FALSE,20,137,9,12,20,174,6,20,32,FALSE
2020,1216503,Kings XI Punjab v Mumbai Indians,KXIP v MI,"13th Match (N), Indian Premier League at Abu Dhabi, Oct 1 2020",KXIP,MI,KXIP,BOWL FIRST,191/4,143/8,143/8,191/4,MI,Mum Indians won by 48 runs,2020-10-01T14:00Z,2020-10-03T23:59Z,59396,"Sheikh Zayed Stadium, Abu Dhabi",KL Rahul,Rohit Sharma,Kieron Pollard,"Mumbai Indians 2, Kings XI Punjab 0",FALSE,20,143,8,13,20,191,4,27,40,FALSE
2020,1216516,Chennai Super Kings v Sunrisers Hyderabad,CSK v SRH,"14th Match (N), Indian Premier League at Dubai (DSC), Oct 2 2020",CSK,SRH,SRH,BAT FIRST,164/5,157/5,157/5,164/5,SRH,Sunrisers won by 7 runs,2020-10-02T14:00Z,2020-10-04T23:59Z,392627,Dubai International Cricket Stadium,MS Dhoni,David Warner,Priyam Garg,"Sunrisers Hyderabad 2, Chennai Super Kings 0",FALSE,20,157,5,19,20,164,5,21,40,FALSE
2020,1216514,Royal Challengers Bangalore v Rajasthan Royals,RCB v RR,"15th Match, Indian Premier League at Abu Dhabi, Oct 3 2020",RCB,RR,RR,BAT FIRST,154/6,158/2,158/2,154/6,RCB,RCB won by 8 wickets,2020-10-03T10:00Z,2020-10-05T23:59Z,59396,"Sheikh Zayed Stadium, Abu Dhabi",Virat Kohli,Steven Smith,Yuzvendra Chahal,"Royal Challengers Bangalore 2, Rajasthan Royals 0",FALSE,19.1,158,2,19,20,154,6,17,36,TRUE
2020,1216515,Delhi Capitals v Kolkata Knight Riders,DC v KKR,"16th Match (N), Indian Premier League at Sharjah, Oct 3 2020",DC,KKR,KKR,BOWL FIRST,228/4,210/8,228/4,210/8,DC,Capitals won by 18 runs,2020-10-03T14:00Z,2020-10-05T23:59Z,59392,Sharjah Cricket Stadium,Shreyas Iyer,Dinesh Karthik,Shreyas Iyer,"Delhi Capitals 2, Kolkata Knight Riders 0",FALSE,20,228,4,32,20,210,8,26,58,FALSE
2020,1216538,Mumbai Indians v Sunrisers Hyderabad,MI v SRH,"17th Match, Indian Premier League at Sharjah, Oct 4 2020",MI,SRH,MI,BAT FIRST,208/5,174/7,208/5,174/7,MI,Mum Indians won by 34 runs,2020-10-04T10:00Z,2020-10-06T23:59Z,59392,Sharjah Cricket Stadium,Rohit Sharma,David Warner,Trent Boult,"Mumbai Indians 2, Sunrisers Hyderabad 0",FALSE,20,208,5,29,20,174,7,19,48,FALSE
2020,1216513,Kings XI Punjab v Chennai Super Kings,KXIP v CSK,"18th Match (N), Indian Premier League at Dubai (DSC), Oct 4 2020",KXIP,CSK,KXIP,BAT FIRST,178/4,181/0,178/4,181/0,CSK,Super Kings won by 10 wickets,2020-10-04T14:00Z,2020-10-06T23:59Z,392627,Dubai International Cricket Stadium,KL Rahul,MS Dhoni,Shane Watson,"Chennai Super Kings 2, Kings XI Punjab 0",FALSE,20,178,4,20,17.4,181,0,26,46,TRUE
2020,1216519,Royal Challengers Bangalore v Delhi Capitals,RCB v DC,"19th Match (N), Indian Premier League at Dubai (DSC), Oct 5 2020",RCB,DC,RCB,BOWL FIRST,196/4,137/9,137/9,196/4,DC,Capitals won by 59 runs,2020-10-05T14:00Z,2020-10-07T23:59Z,392627,Dubai International Cricket Stadium,Virat Kohli,Shreyas Iyer,Axar Patel,"Delhi Capitals 2, Royal Challengers Bangalore 0",FALSE,20,137,9,13,20,196,4,25,38,FALSE
2020,1216511,Mumbai Indians v Rajasthan Royals,MI v RR,"20th Match (N), Indian Premier League at Abu Dhabi, Oct 6 2020",MI,RR,MI,BAT FIRST,193/4,136,193/4,136,MI,Mum Indians won by 57 runs,2020-10-06T14:00Z,2020-10-08T23:59Z,59396,"Sheikh Zayed Stadium, Abu Dhabi",Rohit Sharma,Steven Smith,Suryakumar Yadav,"Mumbai Indians 2, Rajasthan Royals 0",FALSE,20,193,4,26,18.1,136,10,17,43,FALSE
2020,1216501,Kolkata Knight Riders v Chennai Super Kings,KKR v CSK,"21st Match (N), Indian Premier League at Abu Dhabi, Oct 7 2020",KKR,CSK,KKR,BAT FIRST,167,157/5,167,157/5,KKR,KKR won by 10 runs,2020-10-07T14:00Z,2020-10-09T23:59Z,59396,"Sheikh Zayed Stadium, Abu Dhabi",Dinesh Karthik,MS Dhoni,Rahul Tripathi,"Kolkata Knight Riders 2, Chennai Super Kings 0",FALSE,20,167,10,19,20,157,5,21,40,TRUE
2020,1216542,Sunrisers Hyderabad v Kings XI Punjab,SRH v KXIP,"22nd Match (N), Indian Premier League at Dubai (DSC), Oct 8 2020",SRH,KXIP,SRH,BAT FIRST,201/6,132,201/6,132,SRH,Sunrisers won by 69 runs,2020-10-08T14:00Z,2020-10-10T23:59Z,392627,Dubai International Cricket Stadium,David Warner,KL Rahul,Jonny Bairstow,"Sunrisers Hyderabad 2, Kings XI Punjab 0",FALSE,20,201,6,24,16.5,132,10,16,40,FALSE
2020,1216500,Rajasthan Royals v Delhi Capitals,RR v DC,"23rd Match (N), Indian Premier League at Sharjah, Oct 9 2020",RR,DC,RR,BOWL FIRST,184/8,138,138,184/8,DC,Capitals won by 46 runs,2020-10-09T14:00Z,2020-10-11T23:59Z,59392,Sharjah Cricket Stadium,Steven Smith,Shreyas Iyer,Ravichandran Ashwin,"Delhi Capitals 2, Rajasthan Royals 0",FALSE,19.4,138,10,14,20,184,8,22,36,FALSE
2020,1216523,Kings XI Punjab v Kolkata Knight Riders,KXIP v KKR,"24th Match, Indian Premier League at Abu Dhabi, Oct 10 2020",KXIP,KKR,KKR,BAT FIRST,164/6,162/5,162/5,164/6,KKR,KKR won by 2 runs,2020-10-10T10:00Z,2020-10-12T23:59Z,59396,"Sheikh Zayed Stadium, Abu Dhabi",KL Rahul,Dinesh Karthik,Dinesh Karthik,"Kolkata Knight Riders 2, Kings XI Punjab 0",FALSE,20,162,5,18,20,164,6,20,38,FALSE
2020,1216525,Chennai Super Kings v Royal Challengers Bangalore,CSK v RCB,"25th Match (N), Indian Premier League at Dubai (DSC), Oct 10 2020",CSK,RCB,RCB,BAT FIRST,169/4,132/8,132/8,169/4,RCB,RCB won by 37 runs,2020-10-10T14:00Z,2020-10-12T23:59Z,392627,Dubai International Cricket Stadium,MS Dhoni,Virat Kohli,Virat Kohli,"Royal Challengers Bangalore 2, Chennai Super Kings 0",FALSE,20,132,8,13,20,169,4,15,28,FALSE
2020,1216507,Sunrisers Hyderabad v Rajasthan Royals,SRH v RR,"26th Match, Indian Premier League at Dubai (DSC), Oct 11 2020",SRH,RR,SRH,BAT FIRST,158/4,163/5,158/4,163/5,RR,Royals won by 5 wickets,2020-10-11T10:00Z,2020-10-13T23:59Z,392627,Dubai International Cricket Stadium,David Warner,Steven Smith,Rahul Tewatia,"Rajasthan Royals 2, Sunrisers Hyderabad 0",FALSE,20,158,4,15,19.5,163,5,18,33,TRUE
2020,1216529,Mumbai Indians v Delhi Capitals,MI v DC,"27th Match (N), Indian Premier League at Abu Dhabi, Oct 11 2020",MI,DC,DC,BAT FIRST,162/4,166/5,166/5,162/4,MI,Mum Indians won by 5 wickets,2020-10-11T14:00Z,2020-10-13T23:59Z,59396,"Sheikh Zayed Stadium, Abu Dhabi",Rohit Sharma,Shreyas Iyer,Quinton de Kock,"Mumbai Indians 2, Delhi Capitals 0",FALSE,19.4,166,5,21,20,162,4,18,39,TRUE
2020,1216540,Royal Challengers Bangalore v Kolkata Knight Riders,RCB v KKR,"28th Match (N), Indian Premier League at Sharjah, Oct 12 2020",RCB,KKR,RCB,BAT FIRST,194/2,112/9,194/2,112/9,RCB,RCB won by 82 runs,2020-10-12T14:00Z,2020-10-14T23:59Z,59392,Sharjah Cricket Stadium,Virat Kohli,Dinesh Karthik,AB de Villiers,"Royal Challengers Bangalore 2, Kolkata Knight Riders 0",FALSE,20,194,2,22,20,112,9,10,32,FALSE
2020,1216528,Sunrisers Hyderabad v Chennai Super Kings,SRH v CSK,"29th Match (N), Indian Premier League at Dubai (DSC), Oct 13 2020",SRH,CSK,CSK,BAT FIRST,167/6,147/8,147/8,167/6,CSK,Super Kings won by 20 runs,2020-10-13T14:00Z,2020-10-15T23:59Z,392627,Dubai International Cricket Stadium,David Warner,MS Dhoni,Ravindra Jadeja,"Chennai Super Kings 2, Sunrisers Hyderabad 0",FALSE,20,147,8,15,20,167,6,21,36,FALSE
2020,1216543,Delhi Capitals v Rajasthan Royals,DC v RR,"30th Match (N), Indian Premier League at Dubai (DSC), Oct 14 2020",DC,RR,DC,BAT FIRST,161/7,148/8,161/7,148/8,DC,Capitals won by 13 runs,2020-10-14T14:00Z,2020-10-16T23:59Z,392627,Dubai International Cricket Stadium,Shreyas Iyer,Steven Smith,Anrich Nortje,"Delhi Capitals 2, Rajasthan Royals 0",FALSE,20,161,7,16,20,148,8,18,34,FALSE
2020,1216531,Royal Challengers Bangalore v Kings XI Punjab,RCB v KXIP,"31st Match (N), Indian Premier League at Sharjah, Oct 15 2020",RCB,KXIP,RCB,BAT FIRST,171/6,177/2,171/6,177/2,KXIP,Kings XI won by 8 wickets,2020-10-15T14:00Z,2020-10-17T23:59Z,59392,Sharjah Cricket Stadium,Virat Kohli,KL Rahul,KL Rahul,"Kings XI Punjab 2, Royal Challengers Bangalore 0",FALSE,20,171,6,16,20,177,2,20,36,TRUE
2020,1216526,Mumbai Indians v Kolkata Knight Riders,MI v KKR,"32nd Match (N), Indian Premier League at Abu Dhabi, Oct 16 2020",MI,KKR,KKR,BAT FIRST,148/5,149/2,149/2,148/5,MI,Mum Indians won by 8 wickets,2020-10-16T14:00Z,2020-10-18T23:59Z,59396,"Sheikh Zayed Stadium, Abu Dhabi",Rohit Sharma,Eoin Morgan,Quinton de Kock,"Mumbai Indians 2, Kolkata Knight Riders 0",FALSE,16.5,149,2,23,20,148,5,18,41,TRUE
2020,1216522,Rajasthan Royals v Royal Challengers Bangalore,RR v RCB,"33rd Match, Indian Premier League at Dubai (DSC), Oct 17 2020",RR,RCB,RR,BAT FIRST,177/6,179/3,177/6,179/3,RCB,RCB won by 7 wickets,2020-10-17T10:00Z,2020-10-19T23:59Z,392627,Dubai International Cricket Stadium,Steven Smith,Virat Kohli,AB de Villiers,"Royal Challengers Bangalore 2, Rajasthan Royals 0",FALSE,20,177,6,22,19.4,179,3,15,37,TRUE
2020,1216509,Delhi Capitals v Chennai Super Kings,DC v CSK,"34th Match (N), Indian Premier League at Sharjah, Oct 17 2020",DC,CSK,CSK,BAT FIRST,179/4,185/5,185/5,179/4,DC,Capitals won by 5 wickets,2020-10-17T14:00Z,2020-10-19T23:59Z,59392,Sharjah Cricket Stadium,Shreyas Iyer,MS Dhoni,Shikhar Dhawan,"Delhi Capitals 2, Chennai Super Kings 0",FALSE,19.5,185,5,24,20,179,4,23,47,TRUE
2020,1216512,Sunrisers Hyderabad v Kolkata Knight Riders,SRH v KKR,"35th Match, Indian Premier League at Abu Dhabi, Oct 18 2020",SRH,KKR,SRH,BOWL FIRST,163/5,163/6,163/6,163/5,KKR,Match tied (Kolkata Knight Riders won the one-over eliminator),2020-10-18T10:00Z,2020-10-20T23:59Z,59396,"Sheikh Zayed Stadium, Abu Dhabi",David Warner,Eoin Morgan,Lockie Ferguson,"Kolkata Knight Riders 2, Sunrisers Hyderabad 0",TRUE,20,163,6,20,20,163,5,21,41,TRUE
2020,1216517,Mumbai Indians v Kings XI Punjab,MI v KXIP,"36th Match (N), Indian Premier League at Dubai (DSC), Oct 18 2020",MI,KXIP,MI,BAT FIRST,176/6,176/6,176/6,176/6,KXIP,Match tied (Kings XI Punjab won the one-over eliminator),2020-10-18T14:00Z,2020-10-20T23:59Z,392627,Dubai International Cricket Stadium,Rohit Sharma,KL Rahul,KL Rahul,"Kings XI Punjab 2, Mumbai Indians 0",TRUE,20,176,6,24,20,176,6,22,46,FALSE
2020,1216533,Chennai Super Kings v Rajasthan Royals,CSK v RR,"37th Match (N), Indian Premier League at Abu Dhabi, Oct 19 2020",CSK,RR,CSK,BAT FIRST,125/5,126/3,125/5,126/3,RR,Royals won by 7 wickets,2020-10-19T14:00Z,2020-10-21T23:59Z,59396,"Sheikh Zayed Stadium, Abu Dhabi",MS Dhoni,Steven Smith,Jos Buttler,"Rajasthan Royals 2, Chennai Super Kings 0",FALSE,20,125,5,13,17.3,126,3,14,27,TRUE
2020,1216546,Kings XI Punjab v Delhi Capitals,KXIP v DC,"38th Match (N), Indian Premier League at Dubai (DSC), Oct 20 2020",KXIP,DC,DC,BAT FIRST,164/5,167/5,167/5,164/5,KXIP,Kings XI won by 5 wickets,2020-10-20T14:00Z,2020-10-22T23:59Z,392627,Dubai International Cricket Stadium,KL Rahul,Shreyas Iyer,Shikhar Dhawan,"Kings XI Punjab 2, Delhi Capitals 0",FALSE,19,167,5,21,20,164,5,19,40,TRUE
